Index Date,Ref CPI,Index Ratio,PDF Link,XML Link
4/15/2020,258.30093,1,CPI_20200311.pdf,CPI_20200311.xml
4/16/2020,258.3245,1.00009,CPI_20200311.pdf,CPI_20200311.xml
4/17/2020,258.34807,1.00018,CPI_20200311.pdf,CPI_20200311.xml
4/18/2020,258.37163,1.00027,CPI_20200311.pdf,CPI_20200311.xml
4/19/2020,258.3952,1.00036,CPI_20200311.pdf,CPI_20200311.xml
4/20/2020,258.41877,1.00046,CPI_20200311.pdf,CPI_20200311.xml
4/21/2020,258.44233,1.00055,CPI_20200311.pdf,CPI_20200311.xml
4/22/2020,258.4659,1.00064,CPI_20200311.pdf,CPI_20200311.xml
4/23/2020,258.48947,1.00073,CPI_20200311.pdf,CPI_20200311.xml
4/24/2020,258.51303,1.00082,CPI_20200311.pdf,CPI_20200311.xml
4/25/2020,258.5366,1.00091,CPI_20200311.pdf,CPI_20200311.xml
4/26/2020,258.56017,1.001,CPI_20200311.pdf,CPI_20200311.xml
4/27/2020,258.58373,1.00109,CPI_20200311.pdf,CPI_20200311.xml
4/28/2020,258.6073,1.00119,CPI_20200311.pdf,CPI_20200311.xml
4/29/2020,258.63087,1.00128,CPI_20200311.pdf,CPI_20200311.xml
4/30/2020,258.65443,1.00137,CPI_20200311.pdf,CPI_20200311.xml
5/1/2020,258.678,1.00146,CPI_20200410.pdf,CPI_20200410.xml
5/2/2020,258.65984,1.00139,CPI_20200410.pdf,CPI_20200410.xml
5/3/2020,258.64168,1.00132,CPI_20200410.pdf,CPI_20200410.xml
5/4/2020,258.62352,1.00125,CPI_20200410.pdf,CPI_20200410.xml
5/5/2020,258.60535,1.00118,CPI_20200410.pdf,CPI_20200410.xml
5/6/2020,258.58719,1.00111,CPI_20200410.pdf,CPI_20200410.xml
5/7/2020,258.56903,1.00104,CPI_20200410.pdf,CPI_20200410.xml
5/8/2020,258.55087,1.00097,CPI_20200410.pdf,CPI_20200410.xml
5/9/2020,258.53271,1.0009,CPI_20200410.pdf,CPI_20200410.xml
5/10/2020,258.51455,1.00083,CPI_20200410.pdf,CPI_20200410.xml
5/11/2020,258.49639,1.00076,CPI_20200410.pdf,CPI_20200410.xml
5/12/2020,258.47823,1.00069,CPI_20200410.pdf,CPI_20200410.xml
5/13/2020,258.46006,1.00062,CPI_20200410.pdf,CPI_20200410.xml
5/14/2020,258.4419,1.00055,CPI_20200410.pdf,CPI_20200410.xml
5/15/2020,258.42374,1.00048,CPI_20200410.pdf,CPI_20200410.xml
5/16/2020,258.40558,1.00041,CPI_20200410.pdf,CPI_20200410.xml
5/17/2020,258.38742,1.00033,CPI_20200410.pdf,CPI_20200410.xml
5/18/2020,258.36926,1.00026,CPI_20200410.pdf,CPI_20200410.xml
5/19/2020,258.3511,1.00019,CPI_20200410.pdf,CPI_20200410.xml
5/20/2020,258.33294,1.00012,CPI_20200410.pdf,CPI_20200410.xml
5/21/2020,258.31477,1.00005,CPI_20200410.pdf,CPI_20200410.xml
5/22/2020,258.29661,0.99998,CPI_20200410.pdf,CPI_20200410.xml
5/23/2020,258.27845,0.99991,CPI_20200410.pdf,CPI_20200410.xml
5/24/2020,258.26029,0.99984,CPI_20200410.pdf,CPI_20200410.xml
5/25/2020,258.24213,0.99977,CPI_20200410.pdf,CPI_20200410.xml
5/26/2020,258.22397,0.9997,CPI_20200410.pdf,CPI_20200410.xml
5/27/2020,258.20581,0.99963,CPI_20200410.pdf,CPI_20200410.xml
5/28/2020,258.18765,0.99956,CPI_20200410.pdf,CPI_20200410.xml
5/29/2020,258.16948,0.99949,CPI_20200410.pdf,CPI_20200410.xml
5/30/2020,258.15132,0.99942,CPI_20200410.pdf,CPI_20200410.xml
5/31/2020,258.13316,0.99935,CPI_20200410.pdf,CPI_20200410.xml
6/1/2020,258.115,0.99928,CPI_20200512.pdf,CPI_20200512.xml
6/2/2020,258.05747,0.99906,CPI_20200512.pdf,CPI_20200512.xml
6/3/2020,257.99993,0.99883,CPI_20200512.pdf,CPI_20200512.xml
6/4/2020,257.9424,0.99861,CPI_20200512.pdf,CPI_20200512.xml
6/5/2020,257.88487,0.99839,CPI_20200512.pdf,CPI_20200512.xml
6/6/2020,257.82733,0.99817,CPI_20200512.pdf,CPI_20200512.xml
6/7/2020,257.7698,0.99794,CPI_20200512.pdf,CPI_20200512.xml
6/8/2020,257.71227,0.99772,CPI_20200512.pdf,CPI_20200512.xml
6/9/2020,257.65473,0.9975,CPI_20200512.pdf,CPI_20200512.xml
6/10/2020,257.5972,0.99728,CPI_20200512.pdf,CPI_20200512.xml
6/11/2020,257.53967,0.99705,CPI_20200512.pdf,CPI_20200512.xml
6/12/2020,257.48213,0.99683,CPI_20200512.pdf,CPI_20200512.xml
6/13/2020,257.4246,0.99661,CPI_20200512.pdf,CPI_20200512.xml
6/14/2020,257.36707,0.99638,CPI_20200512.pdf,CPI_20200512.xml
6/15/2020,257.30953,0.99616,CPI_20200512.pdf,CPI_20200512.xml
6/16/2020,257.252,0.99594,CPI_20200512.pdf,CPI_20200512.xml
6/17/2020,257.19447,0.99572,CPI_20200512.pdf,CPI_20200512.xml
6/18/2020,257.13693,0.99549,CPI_20200512.pdf,CPI_20200512.xml
6/19/2020,257.0794,0.99527,CPI_20200512.pdf,CPI_20200512.xml
6/20/2020,257.02187,0.99505,CPI_20200512.pdf,CPI_20200512.xml
6/21/2020,256.96433,0.99483,CPI_20200512.pdf,CPI_20200512.xml
6/22/2020,256.9068,0.9946,CPI_20200512.pdf,CPI_20200512.xml
6/23/2020,256.84927,0.99438,CPI_20200512.pdf,CPI_20200512.xml
6/24/2020,256.79173,0.99416,CPI_20200512.pdf,CPI_20200512.xml
6/25/2020,256.7342,0.99393,CPI_20200512.pdf,CPI_20200512.xml
6/26/2020,256.67667,0.99371,CPI_20200512.pdf,CPI_20200512.xml
6/27/2020,256.61913,0.99349,CPI_20200512.pdf,CPI_20200512.xml
6/28/2020,256.5616,0.99327,CPI_20200512.pdf,CPI_20200512.xml
6/29/2020,256.50407,0.99304,CPI_20200512.pdf,CPI_20200512.xml
6/30/2020,256.44653,0.99282,CPI_20200512.pdf,CPI_20200512.xml
7/1/2020,256.389,0.9926,CPI_20200610.pdf,CPI_20200610.xml
7/2/2020,256.38916,0.9926,CPI_20200610.pdf,CPI_20200610.xml
7/3/2020,256.38932,0.9926,CPI_20200610.pdf,CPI_20200610.xml
7/4/2020,256.38948,0.9926,CPI_20200610.pdf,CPI_20200610.xml
7/5/2020,256.38965,0.9926,CPI_20200610.pdf,CPI_20200610.xml
7/6/2020,256.38981,0.9926,CPI_20200610.pdf,CPI_20200610.xml
7/7/2020,256.38997,0.9926,CPI_20200610.pdf,CPI_20200610.xml
7/8/2020,256.39013,0.9926,CPI_20200610.pdf,CPI_20200610.xml
7/9/2020,256.39029,0.9926,CPI_20200610.pdf,CPI_20200610.xml
7/10/2020,256.39045,0.9926,CPI_20200610.pdf,CPI_20200610.xml
7/11/2020,256.39061,0.9926,CPI_20200610.pdf,CPI_20200610.xml
7/12/2020,256.39077,0.9926,CPI_20200610.pdf,CPI_20200610.xml
7/13/2020,256.39094,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/14/2020,256.3911,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/15/2020,256.39126,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/16/2020,256.39142,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/17/2020,256.39158,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/18/2020,256.39174,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/19/2020,256.3919,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/20/2020,256.39206,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/21/2020,256.39223,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/22/2020,256.39239,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/23/2020,256.39255,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/24/2020,256.39271,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/25/2020,256.39287,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/26/2020,256.39303,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/27/2020,256.39319,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/28/2020,256.39335,0.99261,CPI_20200610.pdf,CPI_20200610.xml
7/29/2020,256.39352,0.99262,CPI_20200610.pdf,CPI_20200610.xml
7/30/2020,256.39368,0.99262,CPI_20200610.pdf,CPI_20200610.xml
7/31/2020,256.39384,0.99262,CPI_20200610.pdf,CPI_20200610.xml
8/1/2020,256.394,0.99262,CPI_20200714.pdf,CPI_20200714.xml
8/2/2020,256.43926,0.99279,CPI_20200714.pdf,CPI_20200714.xml
8/3/2020,256.48452,0.99297,CPI_20200714.pdf,CPI_20200714.xml
8/4/2020,256.52977,0.99314,CPI_20200714.pdf,CPI_20200714.xml
8/5/2020,256.57503,0.99332,CPI_20200714.pdf,CPI_20200714.xml
8/6/2020,256.62029,0.99349,CPI_20200714.pdf,CPI_20200714.xml
8/7/2020,256.66555,0.99367,CPI_20200714.pdf,CPI_20200714.xml
8/8/2020,256.71081,0.99384,CPI_20200714.pdf,CPI_20200714.xml
8/9/2020,256.75606,0.99402,CPI_20200714.pdf,CPI_20200714.xml
8/10/2020,256.80132,0.99419,CPI_20200714.pdf,CPI_20200714.xml
8/11/2020,256.84658,0.99437,CPI_20200714.pdf,CPI_20200714.xml
8/12/2020,256.89184,0.99454,CPI_20200714.pdf,CPI_20200714.xml
8/13/2020,256.9371,0.99472,CPI_20200714.pdf,CPI_20200714.xml
8/14/2020,256.98235,0.9949,CPI_20200714.pdf,CPI_20200714.xml
8/15/2020,257.02761,0.99507,CPI_20200714.pdf,CPI_20200714.xml
8/16/2020,257.07287,0.99525,CPI_20200714.pdf,CPI_20200714.xml
8/17/2020,257.11813,0.99542,CPI_20200714.pdf,CPI_20200714.xml
8/18/2020,257.16339,0.9956,CPI_20200714.pdf,CPI_20200714.xml
8/19/2020,257.20865,0.99577,CPI_20200714.pdf,CPI_20200714.xml
8/20/2020,257.2539,0.99595,CPI_20200714.pdf,CPI_20200714.xml
8/21/2020,257.29916,0.99612,CPI_20200714.pdf,CPI_20200714.xml
8/22/2020,257.34442,0.9963,CPI_20200714.pdf,CPI_20200714.xml
8/23/2020,257.38968,0.99647,CPI_20200714.pdf,CPI_20200714.xml
8/24/2020,257.43494,0.99665,CPI_20200714.pdf,CPI_20200714.xml
8/25/2020,257.48019,0.99682,CPI_20200714.pdf,CPI_20200714.xml
8/26/2020,257.52545,0.997,CPI_20200714.pdf,CPI_20200714.xml
8/27/2020,257.57071,0.99717,CPI_20200714.pdf,CPI_20200714.xml
8/28/2020,257.61597,0.99735,CPI_20200714.pdf,CPI_20200714.xml
8/29/2020,257.66123,0.99752,CPI_20200714.pdf,CPI_20200714.xml
8/30/2020,257.70648,0.9977,CPI_20200714.pdf,CPI_20200714.xml
8/31/2020,257.75174,0.99787,CPI_20200714.pdf,CPI_20200714.xml
9/1/2020,257.797,0.99805,CPI_20200812.pdf,CPI_20200812.xml
9/2/2020,257.84047,0.99822,CPI_20200812.pdf,CPI_20200812.xml
9/3/2020,257.88393,0.99839,CPI_20200812.pdf,CPI_20200812.xml
9/4/2020,257.9274,0.99855,CPI_20200812.pdf,CPI_20200812.xml
9/5/2020,257.97087,0.99872,CPI_20200812.pdf,CPI_20200812.xml
9/6/2020,258.01433,0.99889,CPI_20200812.pdf,CPI_20200812.xml
9/7/2020,258.0578,0.99906,CPI_20200812.pdf,CPI_20200812.xml
9/8/2020,258.10127,0.99923,CPI_20200812.pdf,CPI_20200812.xml
9/9/2020,258.14473,0.9994,CPI_20200812.pdf,CPI_20200812.xml
9/10/2020,258.1882,0.99956,CPI_20200812.pdf,CPI_20200812.xml
9/11/2020,258.23167,0.99973,CPI_20200812.pdf,CPI_20200812.xml
9/12/2020,258.27513,0.9999,CPI_20200812.pdf,CPI_20200812.xml
9/13/2020,258.3186,1.00007,CPI_20200812.pdf,CPI_20200812.xml
9/14/2020,258.36207,1.00024,CPI_20200812.pdf,CPI_20200812.xml
9/15/2020,258.40553,1.0004,CPI_20200812.pdf,CPI_20200812.xml
9/16/2020,258.449,1.00057,CPI_20200812.pdf,CPI_20200812.xml
9/17/2020,258.49247,1.00074,CPI_20200812.pdf,CPI_20200812.xml
9/18/2020,258.53593,1.00091,CPI_20200812.pdf,CPI_20200812.xml
9/19/2020,258.5794,1.00108,CPI_20200812.pdf,CPI_20200812.xml
9/20/2020,258.62287,1.00125,CPI_20200812.pdf,CPI_20200812.xml
9/21/2020,258.66633,1.00141,CPI_20200812.pdf,CPI_20200812.xml
9/22/2020,258.7098,1.00158,CPI_20200812.pdf,CPI_20200812.xml
9/23/2020,258.75327,1.00175,CPI_20200812.pdf,CPI_20200812.xml
9/24/2020,258.79673,1.00192,CPI_20200812.pdf,CPI_20200812.xml
9/25/2020,258.8402,1.00209,CPI_20200812.pdf,CPI_20200812.xml
9/26/2020,258.88367,1.00226,CPI_20200812.pdf,CPI_20200812.xml
9/27/2020,258.92713,1.00242,CPI_20200812.pdf,CPI_20200812.xml
9/28/2020,258.9706,1.00259,CPI_20200812.pdf,CPI_20200812.xml
9/29/2020,259.01407,1.00276,CPI_20200812.pdf,CPI_20200812.xml
9/30/2020,259.05753,1.00293,CPI_20200812.pdf,CPI_20200812.xml
10/1/2020,259.101,1.0031,CPI_20200911.pdf,CPI_20200911.xml
10/2/2020,259.12735,1.0032,CPI_20200911.pdf,CPI_20200911.xml
10/3/2020,259.15371,1.0033,CPI_20200911.pdf,CPI_20200911.xml
10/4/2020,259.18006,1.0034,CPI_20200911.pdf,CPI_20200911.xml
10/5/2020,259.20642,1.00351,CPI_20200911.pdf,CPI_20200911.xml
10/6/2020,259.23277,1.00361,CPI_20200911.pdf,CPI_20200911.xml
10/7/2020,259.25913,1.00371,CPI_20200911.pdf,CPI_20200911.xml
10/8/2020,259.28548,1.00381,CPI_20200911.pdf,CPI_20200911.xml
10/9/2020,259.31184,1.00391,CPI_20200911.pdf,CPI_20200911.xml
10/10/2020,259.33819,1.00402,CPI_20200911.pdf,CPI_20200911.xml
10/11/2020,259.36455,1.00412,CPI_20200911.pdf,CPI_20200911.xml
10/12/2020,259.3909,1.00422,CPI_20200911.pdf,CPI_20200911.xml
10/13/2020,259.41726,1.00432,CPI_20200911.pdf,CPI_20200911.xml
10/14/2020,259.44361,1.00442,CPI_20200911.pdf,CPI_20200911.xml
10/15/2020,259.46997,1.00453,CPI_20200911.pdf,CPI_20200911.xml
10/16/2020,259.49632,1.00463,CPI_20200911.pdf,CPI_20200911.xml
10/17/2020,259.52268,1.00473,CPI_20200911.pdf,CPI_20200911.xml
10/18/2020,259.54903,1.00483,CPI_20200911.pdf,CPI_20200911.xml
10/19/2020,259.57539,1.00493,CPI_20200911.pdf,CPI_20200911.xml
10/20/2020,259.60174,1.00504,CPI_20200911.pdf,CPI_20200911.xml
10/21/2020,259.6281,1.00514,CPI_20200911.pdf,CPI_20200911.xml
10/22/2020,259.65445,1.00524,CPI_20200911.pdf,CPI_20200911.xml
10/23/2020,259.68081,1.00534,CPI_20200911.pdf,CPI_20200911.xml
10/24/2020,259.70716,1.00544,CPI_20200911.pdf,CPI_20200911.xml
10/25/2020,259.73352,1.00555,CPI_20200911.pdf,CPI_20200911.xml
10/26/2020,259.75987,1.00565,CPI_20200911.pdf,CPI_20200911.xml
10/27/2020,259.78623,1.00575,CPI_20200911.pdf,CPI_20200911.xml
10/28/2020,259.81258,1.00585,CPI_20200911.pdf,CPI_20200911.xml
10/29/2020,259.83894,1.00595,CPI_20200911.pdf,CPI_20200911.xml
10/30/2020,259.86529,1.00606,CPI_20200911.pdf,CPI_20200911.xml
10/31/2020,259.89165,1.00616,CPI_20200911.pdf,CPI_20200911.xml
11/1/2020,259.918,1.00626,CPI_20201013.pdf,CPI_20201013.xml
11/2/2020,259.93007,1.00631,CPI_20201013.pdf,CPI_20201013.xml
11/3/2020,259.94213,1.00635,CPI_20201013.pdf,CPI_20201013.xml
11/4/2020,259.9542,1.0064,CPI_20201013.pdf,CPI_20201013.xml
11/5/2020,259.96627,1.00645,CPI_20201013.pdf,CPI_20201013.xml
11/6/2020,259.97833,1.00649,CPI_20201013.pdf,CPI_20201013.xml
11/7/2020,259.9904,1.00654,CPI_20201013.pdf,CPI_20201013.xml
11/8/2020,260.00247,1.00659,CPI_20201013.pdf,CPI_20201013.xml
11/9/2020,260.01453,1.00663,CPI_20201013.pdf,CPI_20201013.xml
11/10/2020,260.0266,1.00668,CPI_20201013.pdf,CPI_20201013.xml
11/11/2020,260.03867,1.00673,CPI_20201013.pdf,CPI_20201013.xml
11/12/2020,260.05073,1.00677,CPI_20201013.pdf,CPI_20201013.xml
11/13/2020,260.0628,1.00682,CPI_20201013.pdf,CPI_20201013.xml
11/14/2020,260.07487,1.00687,CPI_20201013.pdf,CPI_20201013.xml
11/15/2020,260.08693,1.00691,CPI_20201013.pdf,CPI_20201013.xml
11/16/2020,260.099,1.00696,CPI_20201013.pdf,CPI_20201013.xml
11/17/2020,260.11107,1.00701,CPI_20201013.pdf,CPI_20201013.xml
11/18/2020,260.12313,1.00705,CPI_20201013.pdf,CPI_20201013.xml
11/19/2020,260.1352,1.0071,CPI_20201013.pdf,CPI_20201013.xml
11/20/2020,260.14727,1.00715,CPI_20201013.pdf,CPI_20201013.xml
11/21/2020,260.15933,1.00719,CPI_20201013.pdf,CPI_20201013.xml
11/22/2020,260.1714,1.00724,CPI_20201013.pdf,CPI_20201013.xml
